tier,estimator,term,log_or,OR,ci_lo,ci_hi,p_value
Looser,Firth,HIV_pos,-0.10163906852511254,0.9033555422834253,0.1410460673528544,4.127364243030406,0.9029154784438568
Looser,Firth,female,0.45754371818422757,1.5801878275730745,0.4310203990185559,5.437077671917044,0.47705049207518124
Looser,Firth,older,0.644297292169079,1.904648147737184,0.3849109201018037,19.357842953221198,0.46659885908555054
Looser,MLE,HIV_pos,-0.2551218094180367,0.7748221115821289,0.09846025474633407,3.985101589970731,0.7789322756973227
Looser,MLE,female,0.4523013660195009,1.5719256021641919,0.39968342042187904,5.648092514852381,0.495937015980118
Looser,MLE,older,1.006193576272326,2.735169959270187,0.4446765465415207,53.81110713607307,0.36614491473809846
Primary,Firth,HIV_pos,-0.10163906852511254,0.9033555422834253,0.1410460673528544,4.127364243030406,0.9029154784438568
Primary,Firth,female,0.45754371818422757,1.5801878275730745,0.4310203990185559,5.437077671917044,0.47705049207518124
Primary,Firth,older,0.644297292169079,1.904648147737184,0.3849109201018037,19.357842953221198,0.46659885908555054
Primary,MLE,HIV_pos,-0.2551218094180367,0.7748221115821289,0.09846025474633407,3.985101589970731,0.7789322756973227
Primary,MLE,female,0.4523013660195009,1.5719256021641919,0.39968342042187904,5.648092514852381,0.495937015980118
Primary,MLE,older,1.006193576272326,2.735169959270187,0.4446765465415207,53.81110713607307,0.36614491473809846
Tighter,Firth,HIV_pos,-0.06060933987433805,0.9411908537024624,0.1454126076298278,4.350658692373412,0.9426032817292211
Tighter,Firth,female,0.5468400953956359,1.7277847478315944,0.46487760718404786,6.066906143803185,0.4023099448780666
Tighter,Firth,older,0.5899377855216937,1.8038761846909461,0.3602320384365549,18.495943658957348,0.5102803576162828
Tighter,MLE,HIV_pos,-0.2133546920195257,0.8078695415136959,0.10179073469176793,4.2035515611053755,0.8155509365368332
Tighter,MLE,female,0.5477319067405069,1.7293262931528393,0.43360146993765764,6.341048167300242,0.41570338081635316
Tighter,MLE,older,0.9502022925984589,2.5862327821518445,0.41552594732036074,51.174181502927475,0.39556677059742806
